record_id,source,status,error_count
EQ-1001,finance,active,0
EQ-1002,maintenance,active,0
EQ-1003,logistics,active,9
EQ-1004,logistics,inactive,1
EQ-1005,finance,inactive,1
EQ-1006,finance,active,1
EQ-1007,logistics,inactive,1
EQ-1008,logistics,active,0
EQ-1009,maintenance,active,1
EQ-1010,logistics,active,0
EQ-1011,logistics,active,0
EQ-1012,maintenance,active,4
EQ-1013,finance,active,1
EQ-1014,maintenance,active,0
EQ-1015,finance,inactive,0
EQ-1016,logistics,active,1
EQ-1017,maintenance,active,0
EQ-1018,finance,active,0
EQ-1019,finance,active,0
EQ-1020,finance,active,2
EQ-1021,logistics,inactive,4
EQ-1022,logistics,active,0
EQ-1023,maintenance,active,3
EQ-1024,maintenance,active,4
EQ-1025,maintenance,active,0
EQ-1026,logistics,active,1
EQ-1027,finance,active,0
EQ-1028,finance,active,0
EQ-1029,maintenance,active,0
EQ-1030,maintenance,inactive,0
EQ-1031,finance,active,0
EQ-1032,maintenance,inactive,0
EQ-1033,logistics,active,0
EQ-1034,finance,active,3
EQ-1035,finance,inactive,0
EQ-1036,maintenance,active,0
EQ-1037,finance,active,1
EQ-1038,maintenance,inactive,0
EQ-1039,finance,inactive,2
EQ-1040,maintenance,inactive,3
EQ-1041,maintenance,inactive,0
EQ-1042,maintenance,active,2
EQ-1043,maintenance,active,2
EQ-1044,maintenance,active,0
EQ-1045,logistics,inactive,3
EQ-1046,logistics,active,0
EQ-1047,logistics,active,3
EQ-1048,finance,active,0
EQ-1049,logistics,inactive,0
EQ-1050,logistics,active,0
EQ-1051,logistics,active,1
EQ-1052,finance,active,4
EQ-1053,maintenance,active,2
EQ-1054,finance,active,6
EQ-1055,maintenance,active,3
EQ-1056,finance,active,2
EQ-1057,maintenance,active,0
EQ-1058,logistics,inactive,0
EQ-1059,maintenance,active,0
EQ-1060,maintenance,active,2
EQ-1061,finance,active,1
EQ-1062,logistics,active,3
EQ-1063,maintenance,active,4
EQ-1064,finance,active,0
EQ-1065,logistics,active,1
EQ-1066,logistics,inactive,4
EQ-1067,logistics,inactive,0
EQ-1068,finance,inactive,2
EQ-1069,maintenance,inactive,7
EQ-1070,logistics,active,2
EQ-1071,finance,active,7
EQ-1072,logistics,active,5
EQ-1073,maintenance,active,3
EQ-1074,logistics,active,5
EQ-1075,finance,inactive,3
EQ-1076,logistics,inactive,0
EQ-1077,logistics,active,0
EQ-1078,maintenance,inactive,1
EQ-1079,finance,active,4
EQ-1080,logistics,active,0
EQ-1081,maintenance,active,0
EQ-1082,logistics,inactive,1
EQ-1083,maintenance,inactive,1
EQ-1084,logistics,inactive,0
EQ-1085,finance,active,0
EQ-1086,logistics,active,0
EQ-1087,maintenance,inactive,6
EQ-1088,maintenance,active,0
EQ-1089,finance,inactive,0
EQ-1090,finance,active,0
EQ-1091,finance,active,3
EQ-1092,logistics,active,0
EQ-1093,logistics,active,0
EQ-1094,logistics,active,0
EQ-1095,logistics,active,0
EQ-1096,finance,active,0
EQ-1097,finance,inactive,0
EQ-1098,maintenance,active,0
EQ-1099,finance,active,0
EQ-1100,maintenance,active,0
EQ-1101,maintenance,active,0
EQ-1102,maintenance,inactive,1
EQ-1103,maintenance,active,5
EQ-1104,finance,inactive,1
EQ-1105,maintenance,active,6
EQ-1106,logistics,active,0
EQ-1107,logistics,active,0
EQ-1108,logistics,active,0
EQ-1109,maintenance,inactive,0
EQ-1110,maintenance,active,0
EQ-1111,logistics,active,0
EQ-1112,logistics,inactive,8
EQ-1113,finance,active,0
EQ-1114,logistics,active,1
EQ-1115,logistics,active,4
EQ-1116,logistics,active,0
EQ-1117,finance,active,2
EQ-1118,logistics,active,2
EQ-1119,finance,active,0
EQ-1120,finance,active,1
EQ-1121,logistics,active,3
EQ-1122,logistics,active,0
EQ-1123,finance,inactive,0
EQ-1124,logistics,inactive,0
EQ-1125,maintenance,active,0
EQ-1126,maintenance,active,0
EQ-1127,maintenance,inactive,2
EQ-1128,logistics,active,0
EQ-1129,maintenance,inactive,1
EQ-1130,maintenance,active,3
EQ-1131,maintenance,active,6
EQ-1132,logistics,active,4
EQ-1133,finance,active,1
EQ-1134,logistics,inactive,0
EQ-1135,maintenance,active,1
EQ-1136,maintenance,active,0
EQ-1137,maintenance,active,3
EQ-1138,finance,active,0
EQ-1139,maintenance,active,0
EQ-1140,logistics,active,0
EQ-1141,logistics,inactive,2
EQ-1142,maintenance,active,1
EQ-1143,logistics,inactive,7
EQ-1144,maintenance,inactive,0
EQ-1145,maintenance,inactive,6
EQ-1146,maintenance,inactive,0
EQ-1147,logistics,active,1
EQ-1148,maintenance,active,0
EQ-1149,maintenance,inactive,0
EQ-1150,logistics,active,1
EQ-1151,maintenance,inactive,1
EQ-1152,finance,active,2
EQ-1153,maintenance,active,1
EQ-1154,maintenance,active,7
EQ-1155,finance,active,0
EQ-1156,maintenance,active,3
EQ-1157,maintenance,active,3
EQ-1158,maintenance,inactive,0
EQ-1159,maintenance,active,0
EQ-1160,maintenance,active,8
EQ-1161,maintenance,inactive,1
EQ-1162,finance,active,0
EQ-1163,logistics,active,0
EQ-1164,maintenance,inactive,0
EQ-1165,logistics,active,0
EQ-1166,logistics,active,0
EQ-1167,maintenance,inactive,0
EQ-1168,maintenance,active,8
EQ-1169,finance,active,0
