record_id,source,status,record_count,completion,error_count
EQ-3001,maintenance,active,5216,100,0
EQ-3002,logistics,active,20121,92,0
EQ-3003,logistics,active,18423,100,6
EQ-3004,maintenance, ACTIVE ,4016,98,0
EQ-3005,maintenance,,16752,80,0
EQ-3006, Maintenance ,active,6458,90,0
EQ-3007,maintenance,inactive,5930,86,4
,logistics,active,19648,95,2
EQ-3009,maintenance,inactive,15488,98,5
EQ-3010,maintenance,active,,91,0
EQ-3011,maintenance,active,19879,85,2
EQ-3012,logistics,active,18586,95,0
EQ-3013,,active,12347,96,0
EQ-3014,finance,active,3240,89,2
EQ-3015,finance,Inactive,19311,98,0
EQ-3016,logistics,active,1744,,0
EQ-3017,LOGISTICS,inactive,4629,97,8
EQ-3018,finance,inactive,11563,79,1
EQ-3019,maintenance,active,15449,99,4
EQ-3020,maintenance,,3545,96,4
EQ-3021,logistics,active,unknown,90,1
EQ-3022,logistics,inactive,13538,88,0
EQ-3023,maintenance,inactive,23641,97,0
EQ-3024,maintenance,active,11818,82,0
EQ-3025,maintenance,active ,7868,74,1
EQ-3026,maintenance,active,20594,99,
EQ-3027,logistics,active,4154,94,0
EQ-3028,Finance,inactive,5566,84,0
EQ-3029,maintenance,active,14114,complete,0
EQ-3030,maintenance,active,11260,87,1
EQ-3031,logistics,active,8447,82,0
EQ-3032,maintenance,active,0,99,3
EQ-3033,logistics,active,10985,83,2
EQ-3034,logistics,active,9873,93,none
EQ-3035,logistics,inactive,10593,100,3
EQ-3036,logistics,,20490,91,0
EQ-3037,finance,active,20616,100,1
EQ-3038,finance,active,1313,105,3
EQ-3039,logistics,active,21883,84,8
EQ-3040, maintenance,active,17427,74,0
EQ-3004,finance,inactive,4391,88,0
EQ-3042,maintenance,active,11030,89,0
EQ-3043,finance,active,15163,88,-1
EQ-3044,maintenance,inactive,6468,89,9
,maintenance,active,17773,95,6
EQ-3046,maintenance,active,5612,83,0
EQ-3047,finance, INACTIVE ,23974,96,0
EQ-3048,finance,active,17893,82,0
EQ-3049,finance,inactive,17388,89,0
EQ-3050,logistics,active,,77,1
EQ-3051,logistics,active,19363,91,0
EQ-3052,logistics,active,3991,70,2
EQ-3053,logistics,active,N/A,95,0
EQ-3054,LOGISTICS ,active,18321,91,0
EQ-3055,maintenance,active,9186,95%,0
EQ-3011,finance,inactive,20254,71,0
EQ-3057,maintenance,active,15731,74,1
EQ-3058,maintenance,inactive,7090,94,0
EQ-3059,,active,4135,77,0
EQ-3060,logistics,active,22034,96,0
EQ-3061,maintenance,active,6013,95,0
EQ-3062,finance,,21074,96,0
EQ-3063,maintenance,active,24689,83,0
EQ-3064,finance,Active,1050,92,3
EQ-3065,logistics,inactive,-250,97,0
EQ-3066,logistics,active,4528,71,3
EQ-3067, finance ,active,17683,90,1
EQ-3068,finance,active,12493,,0
EQ-3069,maintenance,active,2861,95,4
EQ-3070,maintenance,active,24605,-5,1
EQ-3023,finance,active,24016,89,4
EQ-3072,maintenance,active,14444,93,0
EQ-3073,logistics,active,840,74,two
EQ-3074,maintenance,inactive,twelve thousand,72,0
EQ-3075,maintenance,inactive,13531,87,0
EQ-3076,maintenance,active,24746,83,0
EQ-3077,maintenance,active,9755,100,-3
EQ-3078,logistics,active,4083,91,0
EQ-3079,maintenance,,24137,85,1
EQ-3080,logistics, active,10998,86,3
EQ-3081,logistics,active,14839,97,5
EQ-3082,MAINTENANCE,inactive,22161,98,0
EQ-3083,logistics,inactive,1174,95,0
EQ-3084,maintenance,active,20942,95,
EQ-3085,logistics,active,14044,94,0
EQ-3030,logistics,inactive,11635,94,2
EQ-3087,logistics,active,6135,unknown,2
EQ-3088,maintenance,inactive,15325,100,0
EQ-3089,maintenance,active,,98,0
EQ-3090,maintenance,active,16941,99,6
EQ-3091,maintenance,active,23963,96,0
EQ-3092,finance,active,2761,89,0
EQ-3093,maintenance,active,16260,94,3
EQ-3094,maintenance,active,9842,88,0
EQ-3095,maintenance,,19972,96,8
EQ-3096,logistics,inactive,19052,100,0
EQ-3097,finance,active,0,81,0
EQ-3098,maintenance,active,3527,97,3
EQ-3099, Logistics ,active,12997,88,0
EQ-3100,,active,18549,94,0
EQ-3101,maintenance,active,10959,101,4
,maintenance,inactive,16294,96,0
EQ-3103,maintenance,INACTIVE,11224,83,0
EQ-3104,logistics,active,19222,87,4
EQ-3105,maintenance,active,4577,84,unknown
EQ-3106,maintenance,active,19168,91,0
EQ-3107,finance,active,"8,500",98,0
EQ-3108,finance,active,24940,92,0
EQ-3109,logistics,active,12060,95,6
EQ-3110,maintenance,inactive,8402,,0
EQ-3048,logistics,inactive,18268,97,2
EQ-3112,finance,active,13074,86,0
EQ-3113,finance,,24758,99,1
EQ-3114,finance,inactive,24906,81,0
EQ-3115,logistics,active,13756,87,0
EQ-3116,maintenance,active,4346,91,2
EQ-3117,FINANCE,active,23761,95,1
EQ-3118,logistics,active,5044,98,0
EQ-3119,maintenance,inactive,24442,eighty,1
EQ-3120,maintenance, ACTIVE,20428,90,0
EQ-3121,finance,inactive,12270,95,0
EQ-3122,finance,inactive,,94,0
EQ-3123,logistics,active,18577,91,0
EQ-3124,maintenance,active,5842,92,0
EQ-3125,maintenance,active,5368,81,-2
EQ-3061,logistics,inactive,6388,93,7
EQ-3127,finance,active,10632,85,6
EQ-3128,maintenance,,12633,72,0
EQ-3129,maintenance,inactive,23420,76,8
EQ-3130,maintenance ,active,1035,95,0
EQ-3131,logistics,inactive,7272,100,0
EQ-3132,maintenance,inactive,-1,100,0
EQ-3133,maintenance,active,9659,76,
EQ-3134,maintenance,active,20512,250,0
EQ-3135,maintenance,active,14113,72,0
EQ-3136,logistics,active,21676,94,0
EQ-3137,logistics,active,6916,90,?
EQ-3138,logistics,active,?,95,1
EQ-3139,logistics,inactive ,7411,82,0
EQ-3140,finance,active,24761,73,0
EQ-3080,logistics,inactive,11373,100,0
EQ-3142,logistics,,12867,74,0
EQ-3143,finance,active,24041,95,6
EQ-3144,,inactive,15665,73,0
EQ-3145,maintenance,active,19635,95,0
EQ-3146,logistics,active,5740,,0
EQ-3147, logistics,active,17157,90,0
EQ-3148,logistics,active,10259,98,8
EQ-3149,finance,active,14746,N/A,0
EQ-3150,logistics,active,16611,91,1
,finance,active,13060,91,0
EQ-3152,maintenance,active,21991,97,0
EQ-3092,logistics,inactive,3136,74,0
EQ-3154,maintenance,inactive,11817,95,0
EQ-3155,maintenance, Active ,11922,87,0
EQ-3156,logistics,active,,100,1
EQ-3157,maintenance,inactive,17697,96,3
EQ-3158,logistics,active,1250,73,-1
EQ-3159,logistics,active,3217,97,6
EQ-3160,finance,,23928,92,4
EQ-3161,maintenance,inactive,3836,99,4
EQ-3162,logistics,active,10031,-1,2
EQ-3163,maintenance,active,14334,90,0
EQ-3164,logistics,inactive,-500,81,1
EQ-3114,logistics,active,25281,94,3
EQ-3166,finance,active,18429,91,0
EQ-3167,logistics,active,none,87,0
EQ-3168,finance,inactive,18428,85,4
EQ-3169,logistics,active,22297,93,0
EQ-3170,maintenance,inactive,9546,91,
EQ-3171,maintenance,inactive,13670,96,6
EQ-3172, Finance ,active,16207,89,0
EQ-3173,maintenance,active,1625,91,N/A
EQ-3174,maintenance,active,12535,72,1
EQ-3175,maintenance,,5639,92,1
EQ-3131,logistics,active,7647,88,2
EQ-3177,finance,active,6989,--,0
EQ-3178,finance,active,16652,,0
EQ-3179,maintenance,INACTIVE ,4325,94,0
EQ-3180,logistics,inactive,15055,70,0
EQ-3181,,active,19867,99,0
EQ-3182,finance,active,,72,0
EQ-3183,maintenance,active,10115,76,4
EQ-3184,maintenance,active,5354,96,0
EQ-3185,maintenance,active,20987,120,0
EQ-3150,maintenance,inactive,16986,72,0
EQ-3187,finance,active,5248,97,4
EQ-3188,finance,inactive,4k,87,6
EQ-3189,logistics,,10396,95,2
EQ-3190,finance,active,24695,97,0
EQ-3191,maintenance,active,1213,89,-5
EQ-3171,maintenance,active,14045,95,0
EQ-3003,logistics,active,18423,100,6
EQ-3018,finance,inactive,11563,79,1
EQ-3051,logistics,active,19363,91,0
EQ-3076,maintenance,active,24746,83,0
EQ-3116,maintenance,active,4346,91,2
EQ-3139,logistics,inactive ,7411,82,0
EQ-3161,maintenance,inactive,3836,99,4
EQ-3184,maintenance,active,5354,96,0
