record_id,source,status,record_count,completion,error_count,processed_date
EQ-45180,finance,inactive,9150,81,2,2026-05-08
EQ-45037,maintenance,active,6300,93,2,2026-06-19
EQ-45024,maintenance,active,10750,92,2,2026-05-03
EQ-45075,maintenance,retired,11025,85,3,2026-04-11
EQ-45121,logistics,inactive,12675,83,1,2026-02-09
EQ-45029,maintenance,active,5200,93,1,2026-02-06
EQ-45161,finance,active,8875,100,0,2026-04-08
EQ-45159,finance,active,9100,80,5,2026-03-28
EQ-45067,maintenance,inactive,8675,86,1,2026-01-22
EQ-45177,finance,inactive,11375,85,2,2026-05-31
EQ-45005,maintenance,active,4550,92,1,2026-03-06
EQ-45097,logistics,active,16600,80,4,2026-03-12
EQ-45145,logistics,retired,11275,95,1,2026-01-27
EQ-45087,logistics,active,17325,85,3,2026-01-27
EQ-45064,maintenance,inactive,5350,90,1,2026-03-18
EQ-45032,maintenance,active,8375,88,3,2026-05-30
EQ-45019,maintenance,active,5875,100,0,2026-04-08
EQ-45063,maintenance,inactive,8000,83,1,2026-02-07
EQ-45081,logistics,active,18100,93,1,2026-06-24
EQ-45149,logistics,retired,11475,82,3,2026-02-12
EQ-45007,maintenance,active,4425,100,0,2026-03-11
EQ-45153,finance,active,11125,91,3,2026-05-12
EQ-45148,logistics,retired,11225,89,1,2026-03-29
EQ-45143,logistics,retired,16625,87,3,2026-03-10
EQ-45116,logistics,active,18175,91,3,2026-06-06
EQ-45125,logistics,inactive,13975,91,0,2026-01-15
EQ-45047,maintenance,active,4925,95,1,2026-05-12
EQ-45111,logistics,active,10950,88,3,2026-06-11
EQ-45137,logistics,inactive,11250,90,1,2026-03-19
EQ-45112,logistics,active,11050,80,4,2026-06-21
EQ-45162,finance,active,11725,95,2,2026-06-24
EQ-45103,logistics,active,14525,98,0,2026-01-15
EQ-45073,maintenance,retired,8950,92,1,2026-03-19
EQ-45157,finance,active,9650,90,3,2026-04-17
EQ-45093,logistics,active,16825,88,3,2026-04-24
EQ-45198,finance,retired,10150,88,2,2026-01-30
EQ-45098,logistics,active,11675,95,1,2026-04-09
EQ-45102,logistics,active,18250,87,4,2026-04-12
EQ-45126,logistics,inactive,17375,93,0,2026-05-12
EQ-45100,logistics,active,10525,100,0,2026-02-08
EQ-45107,logistics,active,16700,99,0,2026-02-16
EQ-45079,maintenance,retired,8000,87,2,2026-01-28
EQ-45191,finance,inactive,8250,79,3,2026-01-06
EQ-45197,finance,retired,10025,84,3,2026-05-02
EQ-45094,logistics,active,13500,91,3,2026-06-04
EQ-45043,maintenance,active,11300,95,1,2026-02-26
EQ-45122,logistics,inactive,13150,91,0,2026-04-17
EQ-45076,maintenance,retired,5300,86,3,2026-06-04
EQ-45193,finance,retired,7225,98,0,2026-06-20
EQ-45132,logistics,inactive,16200,85,1,2026-04-18
EQ-45071,maintenance,inactive,8600,83,1,2026-02-21
EQ-45027,maintenance,active,11325,95,1,2026-06-07
EQ-45183,finance,inactive,9850,77,3,2026-01-09
EQ-45104,logistics,active,14425,95,1,2026-04-27
