record_id,source_code,status,record_count,error_count
EQ-2001,SRC-LOG,warning,16200,1
EQ-2002,SRC-OPS,warning,5000,3
EQ-2003,SRC-MAINT,ready,21200,0
EQ-2004,SRC-HR,warning,2500,3
EQ-2005,SRC-MAINT,ready,24700,0
EQ-2006,SRC-ENG,warning,19400,2
EQ-2007,,warning,19200,1
EQ-2008,SRC-IT,warning,13200,1
EQ-2009,SRC-IT,warning,12900,5
EQ-2010,SRC-LOG,warning,9800,1
EQ-2011,SRC-IT,warning,8200,4
EQ-2012,SRC-FIN,ready,10200,0
EQ-2013,SRC-LOG,warning,12900,3
EQ-2014,SRC-UNKNOWN,ready,8900,0
EQ-2015,SRC-HR,warning,6400,4
EQ-2016,SRC-LOG,warning,16800,2
EQ-2017,SRC-HR,ready,8400,0
EQ-2018,SRC-LOG,warning,5800,1
EQ-2019,SRC-HR,warning,18100,2
EQ-2020,SRC-FIN,warning,6000,3
EQ-2021,SRC-LOG,warning,20100,1
EQ-2022,SRC-MANT,ready,1200,0
EQ-2023,SRC-FIN,warning,11500,5
EQ-2024,SRC-MAINT,warning,19800,2
EQ-2025,SRC-MAINT,ready,7200,0
EQ-2026,SRC-HR,rejected,3100,6
EQ-2027,SRC-SAFETY,warning,5700,1
EQ-2028,SRC-FIN,warning,15000,4
EQ-2029,SRC-ENG,warning,13200,3
EQ-2030,SRC-SAFETY,warning,5000,3
EQ-2031,SRC-LEGACY,warning,10900,3
EQ-2032,SRC-FIN,warning,3900,1
EQ-2033,SRC-MAINT,ready,4200,0
EQ-2034,SRC-SAFETY,warning,8200,5
EQ-2035,SRC-HR,ready,7500,0
EQ-2036,SRC-ENG,warning,9000,1
EQ-2037,SRC-ENG,warning,7300,2
EQ-2038,SRC-MAINT,rejected,9600,6
EQ-2039,SRC-SAFETY,ready,2600,0
EQ-2040,SRC-IT,rejected,19300,6
EQ-2041,SRC-HR,ready,12300,0
EQ-2042,SRC-MAINT,warning,3100,5
EQ-2043,,warning,16600,3
EQ-2044,SRC-OPS,ready,24500,0
EQ-2045,SRC-ENG,ready,1200,0
EQ-2046,SRC-MAINT,warning,20000,3
EQ-2047,SRC-SAFETY,ready,7000,0
EQ-2048,SRC-LOG,warning,20100,2
EQ-2049,SRC-MAINT,warning,4900,1
EQ-2050,SRC-OPS,ready,16900,0
EQ-2051,SRC-FIN,warning,7700,3
EQ-2052,SRC-SAFETY,warning,8500,3
EQ-2053,SRC-LOG,ready,7100,0
EQ-2054,SRC-QA,warning,9600,4
EQ-2055,SRC-HR,warning,23300,2
EQ-2056,SRC-LOG,warning,13300,2
EQ-2057,SRC-ENG,warning,17100,2
EQ-2058,SRC-SAFETY,warning,17900,2
EQ-2059,SRC-SAFETY,rejected,14700,6
EQ-2060,SRC-SAFETY,ready,19300,0
