enrollment_id,student_id,class_id,term,final_grade,status
E001,S001,C101,2026-Spring,94,completed
E002,S001,C102,2026-Spring,91,completed
E003,S002,C101,2026-Spring,88,completed
E004,S002,C106,2026-Spring,95,completed
E005,S003,C102,2026-Spring,86,completed
E006,S003,C104,2026-Spring,92,completed
E007,S004,C103,2026-Spring,84,completed
E008,S004,C106,2026-Spring,89,completed
E009,S005,C101,2026-Spring,97,completed
E010,S005,C103,2026-Spring,90,completed
E011,S006,C102,2026-Spring,78,completed
E012,S006,C105,2026-Spring,82,completed
E013,S007,C103,2026-Spring,93,completed
E014,S007,C104,2026-Spring,88,completed
E015,S008,C101,2026-Spring,85,completed
E016,S008,C106,2026-Spring,,in_progress
E017,S009,C102,2026-Spring,96,completed
E018,S009,C105,2026-Spring,94,completed
E019,S010,C103,2026-Spring,73,completed
E020,S010,C104,2026-Spring,79,completed
E021,S011,C101,2026-Spring,90,completed
E022,S011,C102,2026-Spring,93,completed
E023,S012,C103,2026-Spring,87,completed
E024,S012,C106,2026-Spring,91,completed
E025,S013,C104,2026-Spring,,dropped
E026,S014,C105,2026-Spring,89,completed
E027,S014,C107,2026-Spring,94,completed
E028,S015,C101,2026-Spring,83,completed
E029,S015,C104,2026-Spring,86,completed
E030,S016,C103,2026-Spring,92,completed
E031,S017,C102,2026-Spring,88,completed
E032,S017,C105,2026-Spring,,in_progress
E033,S018,C107,2026-Spring,98,completed
E034,S999,C103,2026-Spring,81,completed
